Название фильма;Страна;Год  выхода;Сколько лет фильму на данный момент;Режиссер;Сценарист;Первые три актера из списка актеров;Приключения- боевик / Приключения- не боевик;Всего с начала выхода фильма: Кол. просмотров  фильма;Всего с начала выхода фильма: Кол. Комментариев;Всего с начала выхода фильма: Кол. Лайков;Среднее количество: просмотров в год на данной платформе;Среднее количество: комментариев в год;Динамика комментариев  год/количество;Динамика комментариев  год/количество
Тайна Хеопса / Le secret de Kheops;Франция;2025;1;Барбара Шульц;;Фабрис Лукини, Джулия Пиатон, Гаврил Дартевель;не боевик;90;1;3;90;1;2025;1
Магия четырёх стихий / A Girl Named Willow;Германия;2025;1;Майк Марзук;;Ава Петш, Кора Трубе, Анна фон Зельд;не боевик;65;0;3;65;0;____;0
Смурфики в кино / Smurfs;США;2025;1;Крис Миллер;;Наташа Лионн, Ханна Уоддингэм, Ник Офферман;не боевик;19;0;0;19;0;____;0
Великие стражи Гуаньшаня / Guanshan Grand Guardian;Китай;2025;1;Ло Ивэй;;Кен Чанг, Цзы-Яо, Ху Сюээр;не боевик;39;0;0;39;0;____;0
Морской змей \ Гидра / Serpiente de mar \ The Sea Serpent;Испания;1985;40;Амандо де Оссорио;Амандо де Оссорио;Тимоти Боттомс, Тэрин Пауэр, Джаред Мартин;не боевик;4;0;0;0;0;____;0
Первобытные / The Primevals;США;2023;2;Дэйв Аллен;;Джульетт Миллс, Ричард Джозеф Пол, Леон Рассом;не боевик;7;0;0;3;0;____;0
Зомби 4: Рассвет вампиров / Zombies 4: Dawn of the Vampires;США;2025;1;Пол Хоэн;;Мег Доннелли, Майло Манхейм, Малачи Бартон;не боевик;23;0;1;23;0;____;0
Открытое море. Смерть рядом / Row;Великобритания;2025;1;Мэттью Лосассо;;Акшай Ханна, Софи Скелтон, Белла Дэйн;не боевик;44;0;1;44;0;____;0
Побег из будущего / Boonie Bears: Future Reborn;Китай;2025;1;Линь Юнчан;;Чжан Вэй, Чжан Бинцзюнь, Тань Сяо;не боевик;53;2;2;53;2;2025;2
Кровные братья: урожай жизни / Blood Brothers: Life Harvest;США;2025;1;Брит Селлерс;;Томми Крамер, Бобби Батсон, Нэйтан Кирби;Боевик;7;1;0;7;1;2025;1
Око саламандры / The Eye of the Salamander;США;2024;1;Павел Николаев;;Сет Хонзик, Ник Карнер, Павел Николаев;не боевик;32;0;0;32;0;____;0
Выживший / Ngesot;WEB-DLRip;2024;1;Айез Шаукат Фонсека Фарид;;Зул Хузайми, Шарифа Сакина, Лукман Хафидз;не боевик;11;0;0;11;0;____;0
Побег / Utek;Чехия;2025;1;Дэвид Ланка;;Якуб Бартак, Кристина Коцианова, Сара Корбелова;не боевик;7;0;0;7;0;____;0
